,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Windspeed (mph),Country,Date
27,Kaeo,-35.1,173.78,61.0,13,99,10.0,NZ,1595979634
28,Lompoc,34.64,-120.46,70.0,64,5,16.11,US,1595979449
29,Hobart,-42.88,147.33,43.0,81,75,10.29,AU,1595979513
30,Oryol,52.97,36.08,62.85,75,69,6.06,RU,1595979635
31,Puerto Ayora,-0.74,-90.35,66.99,93,89,3.0,EC,1595979635
32,Socorro,31.65,-106.3,95.0,21,40,6.93,US,1595979606
33,Atuona,-9.8,-139.03,80.24,71,2,23.33,PF,1595979635
34,Bethel,41.37,-73.41,82.4,58,40,6.93,US,1595979635
35,Coyhaique,-45.58,-72.07,33.8,80,59,4.72,CL,1595979636
36,Paraíso,9.84,-83.87,69.8,83,90,4.7,CR,1595979636
37,Arraial do Cabo,-22.97,-42.03,72.63,77,0,20.78,BR,1595979636
38,Mataura,-46.19,168.86,50.0,76,60,3.0,NZ,1595979636
39,Itarema,-2.92,-39.92,78.1,77,0,12.88,BR,1595979636
40,Kavieng,-2.57,150.8,85.05,66,55,8.97,PG,1595979636
41,Kapaa,22.08,-159.32,82.4,69,20,21.92,US,1595979637
42,Māngrol,21.12,70.12,83.55,81,100,16.11,IN,1595979637
43,San Patricio,19.22,-104.7,89.6,66,40,11.41,MX,1595979637
44,Asău,46.43,26.4,64.99,87,0,4.72,RO,1595979637
45,Pilar,-9.6,-35.96,73.4,94,75,2.24,BR,1595979637
46,Vaini,-21.2,-175.2,71.6,68,20,21.92,TO,1595979637
47,Anamur,36.08,32.84,71.6,78,0,4.7,TR,1595979638
48,Saint-Philippe,-21.36,55.77,71.6,73,99,13.87,RE,1595979638
49,Looc,12.26,121.99,80.42,85,100,5.84,PH,1595979638
50,Mar del Plata,-38.0,-57.56,45.0,81,75,8.05,AR,1595979552
51,Águas Belas,-9.11,-37.12,65.35,96,13,3.94,BR,1595979638
52,Khatanga,71.97,102.5,59.31,53,0,4.59,RU,1595979638
53,Airai,-8.93,125.41,62.96,60,37,4.12,TL,1595979638
54,Nikolskoye,59.7,30.79,62.01,93,40,4.47,RU,1595979639
55,Pangnirtung,66.15,-65.71,51.15,80,93,3.06,CA,1595979639
56,Norman Wells,65.28,-126.83,66.2,63,75,17.22,CA,1595979639
57,Lavrentiya,65.58,-171.0,47.75,74,92,6.49,RU,1595979639
58,Cape Town,-33.93,18.42,53.01,81,0,5.82,ZA,1595979515
59,Linhares,-19.39,-40.07,67.84,91,0,4.34,BR,1595979640
60,Lebu,-37.62,-73.65,46.17,84,4,14.9,CL,1595979640
61,Mackay,-21.15,149.2,66.0,59,0,8.05,AU,1595979640
62,New Norfolk,-42.78,147.06,43.0,93,100,2.73,AU,1595979640
63,Slantsy,59.12,28.09,59.02,97,43,5.26,RU,1595979640
64,Hong Kong,22.29,114.16,87.01,74,35,3.83,HK,1595979468
65,Ulaanbaatar,47.91,106.88,55.4,82,75,4.47,MN,1595979461
66,Cantaura,9.31,-64.36,76.23,92,96,3.33,VE,1595979641
67,Phalaborwa,-23.94,31.14,53.6,87,0,5.82,ZA,1595979641
68,Challapata,-18.9,-66.77,42.08,43,0,4.79,BO,1595979641
69,Quelimane,-17.88,36.89,63.34,95,29,4.07,MZ,1595979641
70,Busselton,-33.65,115.33,58.15,68,99,4.18,AU,1595979641
71,Limerick,52.66,-8.62,55.4,82,75,5.82,IE,1595979642
72,Provideniya,64.38,-173.3,50.0,71,90,4.47,RU,1595979642
73,Gizo Government Station,-8.1,156.84,83.17,74,96,2.46,SB,1595979642
74,Ancud,-41.87,-73.82,43.0,93,40,4.43,CL,1595979642
75,Kiri Buru,22.08,85.35,75.92,91,100,2.66,IN,1595979642
76,Aginskoye,51.1,114.53,64.94,92,100,3.65,RU,1595979642
77,Hilo,19.73,-155.09,84.2,58,20,9.17,US,1595979643
78,Inhambane,-23.86,35.38,61.16,66,0,2.33,MZ,1595979643
79,Castro,-24.79,-50.01,60.85,81,77,3.89,BR,1595979643
80,Pevek,69.7,170.31,36.01,85,73,9.66,RU,1595979643
81,Saint Paul Harbor,57.79,-152.41,68.0,52,1,9.17,US,1595979644
82,Catió,11.28,-15.25,75.87,92,94,9.48,GW,1595979644
83,Mehamn,71.04,27.85,51.8,93,40,2.24,NO,1595979644
84,Luganville,-15.53,167.17,80.6,78,75,10.29,VU,1595979644
85,Srednekolymsk,67.45,153.68,50.52,65,97,9.24,RU,1595979644
86,Cabo San Lucas,22.89,-109.91,91.4,78,75,19.46,MX,1595979644
87,Nanortalik,60.14,-45.24,46.74,94,91,9.98,GL,1595979644
88,Kānker,20.27,81.49,76.68,88,100,3.44,IN,1595979645
89,Zima,53.92,102.04,63.09,77,100,0.98,RU,1595979645
90,Qaanaaq,77.48,-69.36,43.66,72,37,4.36,GL,1595979645
91,Zeya,53.75,127.27,79.84,64,0,4.14,RU,1595979645
92,Albany,42.6,-73.97,82.0,60,91,5.1,US,1595979645
93,Upernavik,72.79,-56.15,43.12,86,92,8.99,GL,1595979646
94,San Rafael,-34.62,-68.33,47.61,49,0,8.77,AR,1595979572
95,Chokurdakh,70.63,147.92,45.68,71,100,11.23,RU,1595979646
96,Røros,62.57,11.38,51.8,100,100,2.24,NO,1595979646
97,Severo-Kuril'sk,50.68,156.12,54.0,82,81,17.52,RU,1595979646
98,Chui,-33.7,-53.46,41.52,78,8,8.86,UY,1595979646
99,Barinas,8.62,-70.21,77.59,84,56,2.19,VE,1595979647
100,Boa Vista,2.82,-60.67,80.6,74,40,3.36,BR,1595979647
101,Forsytheganj,52.63,29.73,64.24,93,46,6.53,BY,1595979647
102,Bathsheba,13.22,-59.52,75.2,94,75,6.93,BB,1595979647
103,Nome,64.5,-165.41,50.0,93,90,18.34,US,1595979647
104,George Town,5.41,100.34,77.0,88,40,2.24,MY,1595979627
105,Fairbanks,64.84,-147.72,60.8,77,90,6.93,US,1595979647
106,Port-Gentil,-0.72,8.78,75.2,88,40,13.18,GA,1595979648
107,Iqaluit,63.75,-68.51,69.8,49,75,12.75,CA,1595979648
108,Vila Franca do Campo,37.72,-25.43,73.4,94,75,5.82,PT,1595979648
109,East London,-33.02,27.91,62.29,69,0,13.02,ZA,1595979648
110,Bambous Virieux,-20.34,57.76,69.8,88,40,5.82,MU,1595979648
111,Wattegama,6.8,81.48,73.71,89,100,2.08,LK,1595979648
112,Sisimiut,66.94,-53.67,46.47,79,9,3.78,GL,1595979649
113,Pundaguitan,6.37,126.17,83.17,72,100,3.62,PH,1595979649
114,Bahía Blanca,-38.72,-62.27,42.62,64,0,7.52,AR,1595979367
115,Maceió,-9.67,-35.74,73.4,94,75,2.24,BR,1595979649
116,Tezu,27.92,96.17,74.41,86,100,3.33,IN,1595979649
117,Leningradskiy,69.38,178.42,43.32,65,59,6.38,RU,1595979649
118,Dunedin,-45.87,170.5,50.0,77,94,1.99,NZ,1595979649
119,Víctor Rosales,22.95,-102.7,69.8,64,90,6.93,MX,1595979614
120,Calvinia,-31.47,19.78,45.57,77,0,2.13,ZA,1595979650
121,Sulina,45.16,29.65,73.17,57,14,9.4,RO,1595979650
122,Saskylakh,71.92,114.08,52.5,58,24,4.25,RU,1595979650
123,Ambikāpur,23.12,83.2,75.54,90,100,5.41,IN,1595979650
124,Terney,45.05,136.61,73.36,70,4,5.41,RU,1595979651
125,Jamestown,42.1,-79.24,75.99,53,1,11.41,US,1595979529
126,Avarua,-21.21,-159.78,73.4,78,35,8.05,CK,1595979651
127,Hibbing,47.43,-92.94,77.0,47,40,14.99,US,1595979651
128,Ribeira Grande,38.52,-28.7,73.74,91,10,12.26,PT,1595979651
129,Kahului,20.89,-156.47,87.8,48,40,17.22,US,1595979651
130,Bullhead City,35.15,-114.57,116.01,4,5,10.29,US,1595979506
131,Sainte-Claire,46.6,-70.86,75.99,78,3,6.02,CA,1595979652
132,Leshukonskoye,64.9,45.76,53.24,94,7,1.7,RU,1595979652
133,Matagami,49.75,-77.63,64.4,88,75,5.03,CA,1595979652
134,Urucará,-2.54,-57.76,78.91,53,19,0.78,BR,1595979652
135,Bud,39.45,-86.18,82.99,51,1,3.58,US,1595979652
136,Torbay,47.67,-52.73,57.99,87,75,3.36,CA,1595979462
137,Butaritari,3.07,172.79,81.57,82,100,14.18,KI,1595979653
138,Talnakh,69.49,88.4,51.8,76,100,11.18,RU,1595979653
139,Haines Junction,60.75,-137.51,51.85,84,100,1.05,CA,1595979653
140,Ahipara,-35.17,173.17,59.32,67,92,10.65,NZ,1595979653
141,Somerset,40.57,-74.55,87.8,58,1,4.7,US,1595979447
142,Coromandel,-18.47,-47.2,64.8,64,26,5.59,BR,1595979653
143,Inyonga,-6.72,32.07,63.64,52,24,5.26,TZ,1595979654
144,Kieta,-6.22,155.63,85.68,62,99,2.42,PG,1595979654
145,La Ronge,55.1,-105.28,84.2,39,20,11.41,CA,1595979654
146,Adrar,20.5,-10.07,89.62,43,2,29.33,MR,1595979654
147,Malabo,3.75,8.78,76.39,82,100,12.39,GQ,1595979654
148,Aklavik,68.22,-135.01,53.6,93,90,12.75,CA,1595979654
149,Port Hardy,50.7,-127.42,64.4,63,40,13.87,CA,1595979654
150,Ilulissat,69.22,-51.1,44.6,75,83,5.82,GL,1595979655
151,Valley City,46.92,-98.0,78.8,44,1,5.82,US,1595979655
152,Lagoa,39.05,-27.98,73.33,91,0,14.67,PT,1595979655
153,Manokwari,-0.87,134.08,78.35,82,100,4.34,ID,1595979655
154,Arlington,32.74,-97.11,80.6,100,5,5.82,US,1595979445
155,Raudeberg,61.99,5.14,59.0,93,66,8.05,NO,1595979656
156,Mount Gambier,-37.83,140.77,41.0,100,75,10.29,AU,1595979656
157,Jaru,-10.44,-62.47,81.95,45,73,2.46,BR,1595979656
158,Vestmannaeyjar,63.44,-20.27,51.84,94,99,6.6,IS,1595979656
159,Yellowknife,62.46,-114.35,73.99,43,20,8.05,CA,1595979557
160,Port Keats,-14.25,129.55,69.91,24,54,15.23,AU,1595979657
161,Macenta,8.54,-9.47,68.68,97,100,3.06,GN,1595979657
162,Mandurah,-32.55,115.7,53.01,100,92,3.18,AU,1595979657
163,Longyearbyen,78.22,15.64,57.2,71,100,9.17,SJ,1595979657
164,Padang,-0.95,100.35,76.14,82,70,4.99,ID,1595979657
165,Kirakira,-10.45,161.92,84.87,71,100,5.97,SB,1595979658
166,Port Alfred,-33.59,26.89,58.64,80,2,11.36,ZA,1595979658
167,Urbana,40.11,-88.21,84.99,54,1,4.7,US,1595979658
168,Kaitangata,-46.28,169.85,53.01,57,76,4.0,NZ,1595979658
169,Chupa,66.27,33.05,55.22,70,8,2.33,RU,1595979658
170,Lüderitz,-26.65,15.16,57.2,82,0,10.29,NA,1595979658
171,Saint-Pierre,-21.34,55.48,71.6,73,98,13.87,RE,1595979658
172,Brae,60.4,-1.35,55.4,93,100,12.75,GB,1595979659
173,Guerrero Negro,27.98,-114.06,73.85,64,3,19.66,MX,1595979659
174,Mahébourg,-20.41,57.7,69.8,88,40,5.82,MU,1595979659
175,Correntina,-13.34,-44.64,68.29,52,44,5.35,BR,1595979659
176,Singaparna,-7.35,108.11,69.26,85,95,1.83,ID,1595979660
177,Tavda,58.04,65.27,44.89,84,9,1.1,RU,1595979660
178,Port Blair,11.67,92.75,82.89,79,98,16.33,IN,1595979433
179,Carnarvon,-24.87,113.63,57.2,93,0,10.29,AU,1595979660
180,Canto do Buriti,-8.11,-42.94,71.8,44,0,3.22,BR,1595979660
181,Stolbishche,55.65,49.22,59.0,87,3,6.71,RU,1595979660
182,Dikson,73.51,80.55,44.69,83,95,15.26,RU,1595979661
183,Novobirilyussy,56.95,90.67,59.14,85,29,3.51,RU,1595979661
184,Eydhafushi,5.1,73.07,82.67,78,100,17.13,MV,1595979661
185,Jinji,23.23,110.83,83.3,75,5,1.88,CN,1595979661
186,Pulandian,39.4,121.97,75.2,83,20,4.47,CN,1595979662
187,Katsuura,35.13,140.3,73.99,88,75,16.11,JP,1595979662
188,Myre,69.1,15.95,60.8,77,96,11.41,NO,1595979662
189,Shenjiamen,29.96,122.3,80.28,88,87,14.27,CN,1595979662
190,Thompson,55.74,-97.86,69.8,56,75,8.05,CA,1595979662
191,Byron Bay,-28.65,153.62,62.6,63,8,11.41,AU,1595979662
192,Mattru,7.62,-11.83,73.42,89,100,2.86,SL,1595979662
193,Tupik,54.43,119.93,71.67,81,66,2.71,RU,1595979663
194,Cherskiy,68.75,161.3,50.45,52,9,13.02,RU,1595979663
195,Ilhabela,-23.78,-45.36,75.15,59,9,3.44,BR,1595979663
196,Kenai,60.55,-151.26,69.8,59,1,5.82,US,1595979663
197,Changqing,36.56,116.73,82.0,73,37,1.01,CN,1595979663
198,Nyagan,62.14,65.39,44.87,84,0,3.94,RU,1595979663
199,Voyvozh,62.89,54.96,53.1,80,56,1.83,RU,1595979663
200,Mapiripán,2.89,-72.13,75.72,79,60,2.91,CO,1595979664
201,San Quintín,30.48,-115.95,72.27,67,4,16.55,MX,1595979664
202,Murgab,37.5,61.97,80.6,39,0,9.17,TM,1595979664
203,Scottsbluff,41.87,-103.67,82.4,37,75,21.92,US,1595979664
204,Antofagasta,-23.65,-70.4,55.4,82,3,4.7,CL,1595979664
205,Haverfordwest,51.8,-4.97,63.0,87,73,5.82,GB,1595979664
206,San Luis,-33.3,-66.34,44.89,53,0,5.03,AR,1595979537
207,Salalah,17.02,54.09,80.6,94,75,3.36,OM,1595979403
208,Isangel,-19.55,169.27,80.6,61,37,14.99,VU,1595979665
209,Luanda,-8.84,13.23,68.65,91,7,6.33,AO,1595979665
210,Dingle,11.0,122.67,80.69,83,100,2.33,PH,1595979665
211,Tuktoyaktuk,69.45,-133.04,48.2,93,90,10.29,CA,1595979665
212,Parkes,-33.13,148.18,50.0,91,1,4.27,AU,1595979665
213,Woodward,36.43,-99.39,89.6,58,75,6.93,US,1595979666
214,Krasnosel'kup,65.7,82.47,52.25,79,58,8.66,RU,1595979666
215,Khasan,42.43,130.64,67.5,94,96,3.38,RU,1595979666
216,Rapid City,44.08,-103.23,78.8,47,75,23.04,US,1595979666
217,Gunjur,13.2,-16.73,75.2,100,75,6.93,GM,1595979666
218,Husavik,66.04,-17.34,50.0,71,75,3.36,IS,1595979667
219,Pangai,-19.8,-174.35,73.4,78,40,19.46,TO,1595979667
220,Gunnedah,-30.98,150.25,51.8,100,90,2.59,AU,1595979667
221,Praia da Vitória,38.73,-27.07,77.0,78,20,8.12,PT,1595979667
222,Codrington,-38.27,141.97,49.01,84,1,11.43,AU,1595979667
223,Lázaro Cárdenas,17.96,-102.2,80.91,82,93,2.13,MX,1595979432
224,Cidreira,-30.18,-50.21,48.49,73,91,12.44,BR,1595979667
225,Blantyre,-15.79,35.01,51.89,97,10,4.81,MW,1595979668
226,North Platte,41.12,-100.77,88.0,43,1,11.41,US,1595979551
227,Belyy Yar,53.6,91.39,53.6,100,7,1.74,RU,1595979668
228,Biak,-0.91,122.88,77.47,80,93,8.48,ID,1595979668
229,Khipro,25.83,69.38,86.47,69,36,21.27,PK,1595979668
230,Pemba,-12.97,40.52,70.05,77,0,15.28,MZ,1595979668
231,Outjo,-20.12,16.15,51.06,42,0,6.91,NA,1595979669
232,Soloneshnoye,51.65,84.32,57.81,86,100,4.94,RU,1595979669
233,Naze,28.37,129.48,86.0,84,40,8.05,JP,1595979669
234,Cam Ranh,11.92,109.16,82.4,88,20,3.36,VN,1595979669
235,Geraldton,-28.77,114.6,48.2,93,0,9.17,AU,1595979669
236,Mandalgovi,45.76,106.27,68.04,46,34,10.13,MN,1595979669
237,Manbij,36.53,37.95,75.2,60,0,9.37,SY,1595979669
238,Honiara,-9.43,159.95,89.6,59,40,4.7,SB,1595979670
239,Diapaga,12.07,1.79,75.92,83,51,7.09,BF,1595979670
240,Hofn,64.25,-15.21,50.5,88,70,5.99,IS,1595979670
241,Oktyabr'skoye,43.06,44.74,64.4,88,94,8.95,RU,1595979670
242,Banamba,13.55,-7.45,78.67,75,93,3.38,ML,1595979670
243,Zhigansk,66.77,123.37,50.81,64,0,23.22,RU,1595979670
244,Hasaki,35.73,140.83,73.0,94,75,13.87,JP,1595979670
245,Lata,40.16,-8.33,63.0,95,1,1.72,PT,1595979671
246,Yulara,-25.24,130.99,46.4,52,0,4.7,AU,1595979671
247,Heraclea,37.51,34.05,69.64,47,0,3.42,TR,1595979671
248,Ambilobe,-13.2,49.05,70.54,89,45,3.47,MG,1595979671
249,Santa Maria da Boa Vista,-8.81,-39.83,74.19,70,19,21.54,BR,1595979671
250,Port Elizabeth,-33.92,25.57,55.4,87,13,5.82,ZA,1595979671
251,Polunochnoye,60.87,60.42,44.38,85,6,1.32,RU,1595979672
252,Port Pirie,-33.18,138.02,46.4,75,0,9.17,AU,1595979672
253,Bengkulu,-3.8,102.27,73.98,88,68,4.07,ID,1595979415
254,Azuaga,38.27,-5.68,82.0,37,0,7.0,ES,1595979672
255,Kayerkan,69.35,87.76,51.8,76,100,11.18,RU,1595979672
256,Kemijärvi,66.71,27.43,55.96,78,95,5.75,FI,1595979672
257,Mossamedes,-15.2,12.15,62.65,85,61,6.62,AO,1595979672
258,Novyy Oskol,50.76,37.87,65.05,63,31,5.26,RU,1595979673
259,Hithadhoo,-0.6,73.08,82.67,76,97,11.48,MV,1595979673
260,Sakakah,29.97,40.21,102.2,14,40,11.41,SA,1595979673
261,Price,39.6,-110.81,89.6,14,1,14.99,US,1595979666
262,Skopelos Town,39.12,23.72,77.0,54,0,9.1,GR,1595979673
263,Comodoro Rivadavia,-45.87,-67.5,41.0,60,0,13.87,AR,1595979674
264,Ust-Nera,64.57,143.2,58.86,49,94,5.84,RU,1595979674
265,Chul'man,56.85,124.91,70.48,79,75,4.61,RU,1595979674
266,Saldanha,-33.01,17.94,56.91,72,0,15.08,ZA,1595979674
267,Winslow,35.02,-110.7,96.8,16,1,5.82,US,1595979674
268,Pisco,-13.7,-76.22,62.6,72,75,8.05,PE,1595979674
269,Khanewal,30.3,71.93,89.6,75,0,11.41,PK,1595979674
270,Irituia,-1.77,-47.44,74.8,86,53,4.27,BR,1595979675
271,Bloemfontein,-29.12,26.21,33.8,69,0,1.12,ZA,1595979675
272,Maţāy,28.42,30.78,78.69,57,0,15.28,EG,1595979675
273,Tynda,55.17,124.72,75.58,69,45,3.02,RU,1595979675
274,Sucúa,-2.47,-78.17,71.6,73,40,8.05,EC,1595979675
275,Acapulco de Juárez,16.86,-99.89,87.8,66,75,4.7,MX,1595979675
276,Katherine,-14.47,132.27,59.0,28,30,8.05,AU,1595979675
277,Swift Current,50.28,-107.8,86.0,30,1,9.17,CA,1595979596
278,Klaksvík,62.23,-6.59,46.4,93,100,27.51,FO,1595979676
279,Camaçari,-12.7,-38.32,77.0,73,40,13.87,BR,1595979676
280,San Juan,-31.54,-68.54,49.15,46,0,3.69,AR,1595979395
281,Meulaboh,4.14,96.13,73.62,87,100,4.9,ID,1595979676
282,De Aar,-30.65,24.01,45.12,56,0,4.47,ZA,1595979676
283,Aykhal,66.0,111.5,48.2,76,90,2.24,RU,1595979676
284,Kudahuvadhoo,2.67,72.89,82.62,78,100,16.42,MV,1595979677
285,Kargasok,59.06,80.86,52.02,76,54,3.0,RU,1595979677
286,Anadyr,64.75,177.48,59.0,67,75,15.66,RU,1595979677
287,Brazzaville,-4.27,15.28,89.6,43,7,6.93,CG,1595979677
288,Tilichiki,60.47,166.1,64.47,59,0,2.33,RU,1595979677
289,Sept-Îles,50.2,-66.38,59.0,93,90,13.87,CA,1595979677
290,San Ignacio,17.16,-89.07,87.01,74,40,7.47,BZ,1595979677
291,Sitka,57.05,-135.33,62.6,67,75,10.29,US,1595979677
292,Tautira,-17.73,-149.15,84.2,66,40,18.34,PF,1595979678
293,Solnechnyy,50.72,136.63,79.75,65,14,3.51,RU,1595979678
294,Bodrum,37.04,27.43,82.4,60,0,3.36,TR,1595979678
295,Port Hedland,-20.32,118.57,53.6,40,0,9.17,AU,1595979678
296,Gouyave,12.16,-61.73,78.8,88,75,9.17,GD,1595979678
297,Vardø,70.37,31.11,55.0,94,71,10.13,NO,1595979678
298,Walvis Bay,-22.96,14.51,55.0,93,0,8.05,NA,1595979678
299,Nouadhibou,20.93,-17.03,69.44,92,2,17.25,MR,1595979679
300,Tiznit Province,29.58,-9.5,75.52,43,0,0.94,MA,1595979679
301,Juneau,58.3,-134.42,62.6,63,75,6.93,US,1595979598
302,Marolambo,-20.05,48.12,61.54,94,100,2.1,MG,1595979679
303,Batticaloa,7.71,81.69,77.74,80,100,4.5,LK,1595979679
304,Sobolevo,54.43,31.9,63.09,93,87,7.43,RU,1595979679
305,Ellisras,-23.66,27.74,46.18,82,0,3.13,ZA,1595979680
306,Dibulla,11.27,-73.31,80.02,84,57,8.95,CO,1595979680
307,Vila Velha,-20.33,-40.29,75.99,78,0,6.93,BR,1595979680
308,Calderitas,18.55,-88.25,87.8,66,40,13.87,MX,1595979680
309,Kirkland Lake,48.14,-80.04,71.6,68,20,6.93,CA,1595979680
310,Naghadeh,36.96,45.39,70.05,51,23,0.81,IR,1595979680
311,Tasiilaq,65.61,-37.64,41.0,100,48,8.05,GL,1595979680
312,Mount Isa,-20.73,139.5,60.8,31,0,14.99,AU,1595979681
313,Laguna,38.42,-121.42,98.01,25,1,4.7,US,1595979681
314,Gelemso,8.82,40.52,56.5,96,36,5.91,ET,1595979681
315,Saint George,37.1,-113.58,104.0,9,1,13.87,US,1595979382
316,Kupang,-10.17,123.58,75.2,73,20,8.05,ID,1595979681
317,Alofi,-19.06,-169.92,75.2,73,40,16.11,NU,1595979681
318,Kerrville,30.05,-99.14,93.2,36,1,6.93,US,1595979626
319,Creel,27.75,-107.63,68.45,68,41,13.91,MX,1595979682
320,Formosa,-26.18,-58.18,48.2,61,38,5.82,AR,1595979682
321,Sirte,31.21,16.59,75.76,81,2,8.43,LY,1595979682
322,Mocuba,-16.84,36.99,60.19,98,11,3.09,MZ,1595979682
323,Tondela,40.52,-8.08,64.99,1,0,1.99,PT,1595979682
324,Guasdualito,7.24,-70.73,77.72,82,2,2.08,VE,1595979682
325,Mayor Pablo Lagerenza,-19.93,-60.77,58.46,62,34,10.38,PY,1595979683
326,Porto Velho,-8.76,-63.9,77.0,78,20,1.83,BR,1595979586
327,Bonavista,48.65,-53.11,55.0,86,21,7.18,CA,1595979683
328,Qaqortoq,60.72,-46.03,50.0,71,99,4.7,GL,1595979683
329,Kindia,10.06,-12.87,69.37,99,100,2.53,GN,1595979683
330,Wukari,7.85,9.78,72.48,94,100,6.78,NG,1595979683
331,Mulchén,-37.72,-72.23,38.77,93,0,5.1,CL,1595979684
332,Jishou,28.32,109.72,77.52,87,20,1.81,CN,1595979684
333,Vernon,50.26,-119.27,95.0,19,1,4.7,CA,1595979684
334,Cayenne,4.93,-52.33,82.4,78,38,14.03,GF,1595979684
335,Aguililla,18.73,-102.73,69.57,91,100,4.59,MX,1595979684
336,San Cristobal,7.77,-72.22,86.0,58,40,8.05,VE,1595979684
337,Belomorsk,64.52,34.77,58.57,77,100,7.7,RU,1595979684
338,Washington,47.5,-120.5,99.0,15,0,5.01,US,1595979618
339,Fortuna,40.6,-124.16,68.0,77,20,16.11,US,1595979685
340,Merritt Island,28.54,-80.67,78.8,94,40,6.13,US,1595979625
341,Novopokrovka,49.84,36.55,75.2,44,81,6.71,UA,1595979685
342,Ippy,6.27,21.22,69.1,96,100,1.12,CF,1595979685
343,Gayny,60.31,54.32,55.2,94,79,3.31,RU,1595979685
344,Kungurtug,50.6,97.52,54.32,86,100,3.78,RU,1595979685
345,Mahon,39.89,4.27,77.0,88,0,6.93,ES,1595979686
346,Huarmey,-10.07,-78.15,60.37,84,4,8.41,PE,1595979686
347,Northam,51.03,-4.22,57.99,92,58,3.0,GB,1595979686
348,Asentamiento Humano Nicolas de Pierola,-11.95,-76.7,60.8,77,90,6.93,PE,1595979686
349,Nhulunbuy,-12.23,136.77,77.0,53,88,17.22,AU,1595979686
350,Parabel',58.7,81.48,51.48,75,19,5.35,RU,1595979686
351,Erzin,36.96,36.2,81.0,87,0,2.28,TR,1595979687
352,Saint-Marc-des-Carrieres,46.68,-72.05,73.0,87,75,6.93,CA,1595979687
353,La Asuncion,11.03,-63.86,93.2,56,87,6.93,VE,1595979687
354,Nautla,20.22,-96.78,85.77,68,76,8.63,MX,1595979687
355,Olinda,-8.01,-34.86,77.0,78,40,8.05,BR,1595979687
356,Belmonte,-15.86,-38.88,71.6,78,20,3.36,BR,1595979687
357,Okhotsk,59.38,143.3,71.37,69,61,7.31,RU,1595979688
358,Egvekinot,66.32,-179.17,48.11,76,88,6.04,RU,1595979688
359,Tocopilla,-22.09,-70.2,58.64,57,14,2.33,CL,1595979688
360,Kosa,59.94,55.0,55.08,95,86,3.4,RU,1595979688
361,Abong Mbang,3.98,13.18,66.7,98,100,3.8,CM,1595979688
362,Ondjiva,-17.07,15.73,54.72,39,0,5.41,AO,1595979688
363,West Richland,46.3,-119.36,105.8,13,1,5.82,US,1595979688
364,Paamiut,61.99,-49.67,46.63,97,100,5.91,GL,1595979689
365,Nakhon Phanom,17.41,104.78,79.3,78,100,3.18,TH,1595979689
366,Pihānī,27.63,80.2,79.93,89,100,5.19,IN,1595979689
367,Black River,18.03,-77.85,84.2,74,40,6.93,JM,1595979689
368,Carbonia,39.17,8.52,80.01,73,0,1.12,IT,1595979641
369,Ust'-Karsk,52.7,118.81,72.52,81,91,2.91,RU,1595979689
370,Sehithwa,-20.47,22.72,51.24,44,0,5.57,BW,1595979690
371,Bandarbeyla,9.49,50.81,78.31,77,0,21.85,SO,1595979690
372,Khakhea,-24.69,23.49,48.29,51,0,9.04,BW,1595979690
